path,label,status,split_gap
7_17/1001_0_processed.png,71,labeled,3
7_17/1002_0_processed.png,71,labeled,3
7_17/1003_0_processed.png,71,labeled,3
7_17/1004_0_processed.png,71,labeled,3
7_17/1005_0_processed.png,71,labeled,3
7_17/1006_0_processed.png,71,labeled,3
7_17/1007_0_processed.png,71,labeled,3
7_17/1008_0_processed.png,71,labeled,3
7_17/1009_0_processed.png,71,labeled,3
7_17/1010_0_processed.png,71,labeled,3
7_17/1012_0_processed.png,71,labeled,3
7_17/1014_0_processed.png,71,labeled,3
7_17/1015_0_processed.png,71,labeled,3
7_17/1016_0_processed.png,71,labeled,3
7_17/1017_0_processed.png,71,labeled,3
7_17/1018_0_processed.png,71,labeled,3
7_17/1019_0_processed.png,71,labeled,3
7_17/1020_0_processed.png,71,labeled,3
7_17/1021_0_processed.png,71,labeled,3
7_17/1022_0_processed.png,71,labeled,3
7_17/1023_0_processed.png,71,labeled,3
7_17/1025_0_processed.png,38,labeled,3
7_17/1026_0_processed.png,71,labeled,3
7_17/1027_0_processed.png,38,labeled,3
7_17/1028_0_processed.png,71,labeled,3
7_17/1029_0_processed.png,38,labeled,3
7_17/1031_0_processed.png,38,labeled,3
7_17/1032_0_processed.png,38,labeled,3
7_17/1034_0_processed.png,38,labeled,3
7_17/1035_0_processed.png,38,labeled,3
7_17/1038_0_processed.png,38,labeled,3
7_17/1040_0_processed.png,38,labeled,3
7_17/1043_0_processed.png,38,labeled,3
7_17/1045_0_processed.png,38,labeled,3
7_17/1047_0_processed.png,38,labeled,3
7_17/1048_0_processed.png,38,labeled,3
7_17/1049_0_processed.png,38,labeled,3
7_17/1050_0_processed.png,38,labeled,3
7_17/1051_0_processed.png,38,labeled,3
7_17/1055_0_processed.png,71,labeled,3
7_17/1058_0_processed.png,71,labeled,3
7_17/1061_0_processed.png,71,labeled,3
7_17/1062_0_processed.png,71,labeled,3
7_17/1063_0_processed.png,38,labeled,3
7_17/1065_0_processed.png,71,labeled,3
7_17/1066_0_processed.png,71,labeled,3
7_17/1067_0_processed.png,38,labeled,3
7_17/1069_0_processed.png,71,labeled,3
7_17/1070_0_processed.png,71,labeled,3
7_17/1071_0_processed.png,38,labeled,3
7_17/1072_0_processed.png,71,labeled,3
7_17/1073_0_processed.png,38,labeled,3
7_17/1074_0_processed.png,38,labeled,3
7_17/1075_0_processed.png,71,labeled,3
7_17/1076_0_processed.png,71,labeled,3
7_17/1077_0_processed.png,71,labeled,3
7_17/1078_0_processed.png,71,labeled,3
7_17/1079_0_processed.png,71,labeled,3
7_17/1080_0_processed.png,71,labeled,3
7_17/1081_0_processed.png,71,labeled,3
7_17/1082_0_processed.png,71,labeled,3
7_17/1083_0_processed.png,71,labeled,3
7_17/1084_0_processed.png,71,labeled,3
7_17/1085_0_processed.png,09,labeled,3
7_17/1086_0_processed.png,09,labeled,3
7_17/1087_0_processed.png,09,labeled,3
7_17/1088_0_processed.png,09,labeled,3
7_17/1090_0_processed.png,09,labeled,3
7_17/1096_0_processed.png,71,labeled,3
7_17/1097_0_processed.png,38,labeled,3
7_17/1098_0_processed.png,71,labeled,3
7_17/1099_0_processed.png,38,labeled,3
7_17/1099_1_processed.png,09,labeled,3
7_17/1100_0_processed.png,38,labeled,3
7_17/1101_0_processed.png,71,labeled,3
7_17/1102_0_processed.png,38,labeled,3
7_17/1102_1_processed.png,09,labeled,3
7_17/1103_0_processed.png,09,labeled,3
7_17/1103_1_processed.png,38,labeled,3
7_17/1104_0_processed.png,71,labeled,3
